City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,23.49,99,100,2.24,US,1676646949
1,atuona,-9.8,-139.0333,26.23,78,69,10.14,PF,1676646949
2,coahuayana,18.7333,-103.6833,24.45,37,27,0.76,MX,1676646950
3,khatanga,71.9667,102.5,-33.22,100,91,0.86,RU,1676646950
4,mahebourg,-20.4081,57.7,26.25,76,83,4.38,MU,1676646951
5,hithadhoo,-0.6,73.0833,27.55,75,91,4.13,MV,1676646951
6,mataura,-46.1927,168.8643,9.96,99,94,0.99,NZ,1676646951
7,mersing,2.4312,103.8405,24.62,90,91,3.58,MY,1676646952
8,berlevag,70.8578,29.0864,-0.03,80,75,2.57,NO,1676646952
9,mahon,39.8885,4.2658,14.31,72,40,3.09,ES,1676646714
10,san vicente pacaya,14.4161,-90.6392,18.63,81,3,0.45,GT,1676646953
11,kapaa,22.0752,-159.319,22.99,90,75,4.63,US,1676646953
12,tieling,42.2931,123.8414,-0.63,75,83,1.43,CN,1676646954
13,cockburn town,21.4612,-71.1419,24.83,68,12,9.83,TC,1676646954
14,torbay,47.6666,-52.7314,3.49,68,59,1.79,CA,1676646954
15,redlands,34.0556,-117.1825,9.3,30,100,1.56,US,1676646955
16,baghdad,33.3406,44.4009,11.95,26,0,4.63,IQ,1676646724
17,vanimo,-2.6741,141.3028,25.01,90,100,2.29,PG,1676646957
18,tuatapere,-46.1333,167.6833,11.38,95,86,1.61,NZ,1676646957
19,chokurdakh,70.6333,147.9167,-43.64,100,67,1.34,RU,1676646957
20,nikolskoye,59.7035,30.7861,-3.06,91,100,4.99,RU,1676646957
21,zhuhai,22.2769,113.5678,20.48,82,0,0.51,CN,1676646957
22,yambio,4.5721,28.3955,34.72,14,63,3.1,SS,1676646958
23,punta arenas,-53.15,-70.9167,11.06,71,75,7.2,CL,1676646680
24,plettenberg bay,-34.0527,23.3716,18.95,91,100,3.93,ZA,1676646958
25,luderitz,-26.6481,15.1594,21.8,65,0,7.98,NA,1676646958
26,sanda,34.8833,135.2333,5.31,79,27,0.47,JP,1676646958
27,sangar,63.9242,127.4739,-26.99,96,100,4.84,RU,1676646959
28,sakakah,29.9697,40.2064,12.09,33,2,4.29,SA,1676646955
29,east london,-33.0153,27.9116,22.26,87,100,6.15,ZA,1676646960
30,mildura,-34.2,142.15,22.82,53,0,6.55,AU,1676646960
31,espoo,60.25,24.6667,2.35,91,100,4.63,FI,1676646818
32,korla,41.7597,86.1469,2.14,49,66,2.51,CN,1676646961
33,busselton,-33.65,115.3333,16.07,84,0,5.11,AU,1676646961
34,saint george,37.1041,-113.5841,-2.67,63,0,2.06,US,1676646961
35,thompson,55.7435,-97.8558,-15.66,96,100,2.87,CA,1676646962
36,hasaki,35.7333,140.8333,2.9,54,2,0.51,JP,1676646962
37,tyukalinsk,55.8732,72.1967,-17.21,95,68,3.26,RU,1676646962
38,esperance,-33.8667,121.9,18.33,87,0,3.13,AU,1676646962
39,cotonou,6.3654,2.4183,30.25,41,8,5.9,BJ,1676646963
40,da lat,11.9465,108.4419,13.9,97,99,1.58,VN,1676646963
41,baker city,44.7749,-117.8344,-4.12,68,0,0.0,US,1676646964
42,butaritari,3.0707,172.7902,26.58,80,94,3.13,KI,1676646965
43,lorengau,-2.0226,147.2712,26.84,80,100,2.61,PG,1676646966
44,vaini,-21.2,-175.2,25.09,94,75,2.57,TO,1676646967
45,yellowknife,62.456,-114.3525,-35.25,66,22,1.79,CA,1676646740
46,longyearbyen,78.2186,15.6401,-5.09,68,40,14.4,SJ,1676646940
47,carlagan,14.975,122.0456,24.51,78,98,7.96,PH,1676646968
48,singaraja,-8.112,115.0882,26.08,83,97,2.4,ID,1676646968
49,oriximina,-1.7656,-55.8661,23.74,96,100,0.43,BR,1676646969
50,rudbar,30.15,62.6,21.39,30,74,4.38,AF,1676646969
51,ajdabiya,30.7554,20.2263,16.27,39,2,3.25,LY,1676646969
52,hermanus,-34.4187,19.2345,20.45,79,99,6.62,ZA,1676646727
53,grindavik,63.8424,-22.4338,-0.03,93,75,6.17,IS,1676646969
54,victor harbor,-35.5667,138.6167,14.82,78,0,2.59,AU,1676646970
55,belgrade,44.804,20.4651,15.79,47,0,4.12,RS,1676646532
56,rikitea,-23.1203,-134.9692,26.42,75,14,6.54,PF,1676646970
57,marawi,7.9986,124.2928,20.25,99,100,1.42,PH,1676646970
58,promyshlennaya,54.9159,85.6385,-10.47,100,68,1.39,RU,1676646971
59,eufaula,31.8913,-85.1455,12.02,94,100,2.57,US,1676646971
60,waingapu,-9.6567,120.2641,25.93,83,44,3.1,ID,1676646971
61,ushuaia,-54.8,-68.3,9.79,71,40,2.57,AR,1676646903
62,jamestown,42.097,-79.2353,-1.66,97,100,4.12,US,1676646972
63,lasa,46.6166,10.7002,9.65,84,81,2.29,IT,1676646972
64,victoria,22.2855,114.1577,19.97,75,31,4.47,HK,1676646953
65,airai,-8.9266,125.4092,16.35,93,100,0.58,TL,1676646972
66,dikson,73.5069,80.5464,-13.97,94,100,11.84,RU,1676646973
67,maragogi,-9.0122,-35.2225,29.49,62,44,4.92,BR,1676646973
68,hobart,-42.8794,147.3294,16.7,85,98,4.12,AU,1676646950
69,saint-philippe,-21.3585,55.7679,26.77,85,60,4.41,RE,1676646975
70,tamandare,-8.7597,-35.1047,29.4,64,24,4.69,BR,1676646975
71,meulaboh,4.1363,96.1285,25.54,83,82,1.28,ID,1676646975
72,ponta do sol,32.6667,-17.1,18.35,73,66,3.26,PT,1676646975
73,mount gambier,-37.8333,140.7667,12.32,94,0,1.6,AU,1676646906
74,lagoa,39.05,-27.9833,14.43,68,100,6.74,PT,1676646976
75,port alfred,-33.5906,26.891,23.17,82,97,8.07,ZA,1676646860
76,siilinjarvi,63.0833,27.6667,-0.99,93,100,6.17,FI,1676646976
77,iralaya,15.0,-83.2333,26.9,66,2,6.02,HN,1676646977
78,qaanaaq,77.484,-69.3632,-22.9,75,100,0.48,GL,1676646977
79,bluff,-46.6,168.3333,13.44,88,46,2.84,NZ,1676646978
80,rocha,-34.4833,-54.3333,17.66,34,5,11.21,UY,1676646978
81,olinda,-8.0089,-34.8553,28.85,65,75,4.63,BR,1676646781
82,port-gentil,-0.7193,8.7815,30.98,70,40,4.12,GA,1676646980
83,port blair,11.6667,92.75,25.96,78,6,2.89,IN,1676646981
84,nayoro,44.3506,142.4578,-8.87,97,87,0.77,JP,1676646981
85,albany,42.6001,-73.9662,13.36,89,100,3.84,US,1676646651
86,upernavik,72.7868,-56.1549,-26.23,92,98,0.9,GL,1676646982
87,puerto ayora,-0.7393,-90.3518,29.98,91,19,1.79,EC,1676646982
88,laguna,38.421,-121.4238,6.27,82,0,2.57,US,1676646983
89,luwuk,-0.9516,122.7875,26.0,88,96,1.85,ID,1676646983
90,marzuq,14.4,46.4667,23.2,23,0,3.6,YE,1676646985
91,high level,58.5169,-117.136,-23.94,77,20,4.63,CA,1676646985
92,mutsu,41.2894,141.2169,3.27,70,73,7.06,JP,1676646985
93,jacareacanga,-6.2222,-57.7528,25.49,89,100,2.04,BR,1676646986
94,cape town,-33.9258,18.4232,25.75,54,40,6.71,ZA,1676646343
95,daliao,5.8611,124.9533,26.78,73,100,1.75,PH,1676646986
96,papara,-3.9839,-38.7273,30.22,52,99,3.48,BR,1676646986
97,fort smith,35.3859,-94.3986,2.02,66,0,2.68,US,1676646986
98,pisco,-13.7,-76.2167,26.12,78,0,2.57,PE,1676646987
99,kashi,39.4547,75.9797,3.84,48,99,2.33,CN,1676646987
100,eureka,40.8021,-124.1637,3.65,95,60,2.52,US,1676646988
101,nuuk,64.1835,-51.7216,-6.66,68,75,8.23,GL,1676646989
102,tasiilaq,65.6145,-37.6368,-10.91,68,85,2.91,GL,1676646989
103,igrim,63.1906,64.4162,-15.38,99,47,1.81,RU,1676646989
104,pevek,69.7008,170.3133,-42.38,99,81,2.19,RU,1676646990
105,saint anthony,45.0205,-93.218,-10.07,74,0,4.12,US,1676646990
106,ales,44.1333,4.0833,16.6,43,18,1.19,FR,1676646990
107,waling,27.9833,83.7667,15.62,61,1,1.83,NP,1676646991
108,cefalu,38.0386,14.0229,14.77,75,43,2.24,IT,1676646991
109,ichinohe,40.2069,141.3017,0.76,86,84,3.06,JP,1676646991
110,barrow,71.2906,-156.7887,-26.99,83,100,3.09,US,1676646991
111,porvoo,60.3923,25.6651,2.35,97,100,4.38,FI,1676646991
112,lebu,-37.6167,-73.65,18.2,37,6,7.15,CL,1676646992
113,vostok,46.4856,135.8833,-8.61,97,100,1.71,RU,1676646992
114,harboore,56.6175,8.1807,7.3,84,100,24.35,DK,1676646992
115,ippy,6.2679,21.2247,36.39,11,12,3.19,CF,1676646993
116,caravelas,-17.7125,-39.2481,31.09,55,98,4.98,BR,1676646993
117,half moon bay,37.4636,-122.4286,8.51,75,20,2.57,US,1676646994
118,mayo,38.8876,-76.5119,17.28,93,100,7.72,US,1676646995
119,palmer,42.1584,-72.3287,14.23,84,100,2.68,US,1676646995
120,nancha,47.1333,129.2667,-15.68,97,22,1.36,CN,1676646995
121,college,64.8569,-147.8028,-19.68,79,40,2.06,US,1676646995
122,lavrentiya,65.5833,-171.0,-28.28,92,100,6.31,RU,1676646996
123,sitka,57.0531,-135.33,2.94,75,100,5.14,US,1676646996
124,goure,13.9835,10.2704,27.25,10,2,7.82,NE,1676646696
125,yumen,40.2833,97.2,-3.84,60,99,1.42,CN,1676646996
126,riyadh,24.6877,46.7219,14.08,32,0,6.05,SA,1676646663
127,mehamn,71.0357,27.8492,-0.05,86,100,2.57,NO,1676646997
128,verin,41.9415,-7.4381,18.65,37,3,2.79,ES,1676646997
129,arraial do cabo,-22.9661,-42.0278,32.92,58,0,4.63,BR,1676646997
130,rancho palos verdes,33.7445,-118.387,11.67,32,100,1.34,US,1676646998
131,lata,40.1629,-8.3327,20.83,31,0,3.97,PT,1676646999
132,new norfolk,-42.7826,147.0587,15.95,63,87,1.72,AU,1676647000
133,bredasdorp,-34.5322,20.0403,19.82,74,100,5.54,ZA,1676647000
134,morondava,-20.2833,44.2833,27.43,76,91,3.79,MG,1676647000
135,cabo san lucas,22.8909,-109.9124,16.4,85,40,3.6,MX,1676647000
136,nata,8.3333,-80.5167,30.62,53,84,6.6,PA,1676647001
137,magan,39.9683,-3.931,16.83,35,0,6.77,ES,1676647001
138,strezhevoy,60.7333,77.5889,-12.86,95,67,3.91,RU,1676647001
139,geraldton,-28.7667,114.6,22.23,78,0,8.23,AU,1676647002
140,awbari,26.5921,12.7805,16.95,30,100,5.4,LY,1676647002
141,khash,28.2211,61.2158,17.9,19,14,3.33,IR,1676647003
142,hobyo,5.3505,48.5268,25.5,73,8,9.2,SO,1676647003
143,severo-kurilsk,50.6789,156.125,-4.09,66,100,11.2,RU,1676647003
144,hirara,24.8,125.2833,21.63,63,14,9.65,JP,1676647003
145,bethel,41.3712,-73.414,15.05,86,100,4.63,US,1676647004
146,tuktoyaktuk,69.4541,-133.0374,-38.0,67,0,2.06,CA,1676647004
147,katherine,-14.4667,132.2667,28.18,74,100,2.57,AU,1676647004
148,mount isa,-20.7333,139.5,20.87,100,100,3.6,AU,1676647004
149,jumla,29.2747,82.1838,8.75,64,0,1.43,NP,1676647004
150,vicuna,-30.0319,-70.7081,28.21,50,5,3.43,CL,1676647005
151,kodiak,57.79,-152.4072,2.73,70,0,12.35,US,1676647005
152,shache,38.4167,77.2406,4.64,40,49,3.41,CN,1676647006
153,amga,60.8953,131.9608,-24.51,100,98,1.0,RU,1676647006
154,jiuquan,39.7432,98.5174,-5.46,89,100,1.0,CN,1676647007
155,alofi,-19.0595,-169.9187,22.94,94,20,0.51,NU,1676647008
156,norrtalje,59.758,18.705,3.02,96,100,6.74,SE,1676646431
157,norman wells,65.282,-126.8329,-39.98,67,40,1.03,CA,1676647009
158,bugene,-1.5911,31.1403,24.92,41,31,3.77,TZ,1676647010
159,pafos,34.7667,32.4167,14.88,51,20,6.69,CY,1676646902
160,sur,22.5667,59.5289,23.45,61,0,1.69,OM,1676647012
161,moundou,8.5667,16.0833,35.29,10,46,3.55,TD,1676647012
162,tiksi,71.6872,128.8694,-24.22,100,100,1.33,RU,1676647012
163,buala,-8.145,159.5921,26.49,86,100,2.45,SB,1676647013
164,wewak,-3.5534,143.6268,25.79,85,100,1.06,PG,1676647013
165,saskylakh,71.9167,114.0833,-28.85,100,99,1.57,RU,1676647013
166,carnarvon,-24.8667,113.6333,24.45,74,0,11.11,AU,1676647014
167,narsaq,60.9167,-46.05,1.12,90,100,7.06,GL,1676647015
168,flinders,-34.5833,150.8552,22.99,81,23,1.79,AU,1676647015
169,hambantota,6.1241,81.1185,25.6,78,29,6.61,LK,1676647015
170,tura,25.5198,90.2201,17.74,42,8,1.34,IN,1676647016
171,benguela,-12.5763,13.4055,28.09,64,28,5.25,AO,1676647016
172,souillac,-20.5167,57.5167,26.21,83,75,1.54,MU,1676647016
173,ulaangom,49.9811,92.0667,-26.87,92,81,1.16,MN,1676647017
174,avarua,-21.2078,-159.775,24.03,94,40,1.03,CK,1676647017
175,freeport,40.6576,-73.5832,15.57,91,100,5.66,US,1676647018
176,san vicente,-26.6167,-54.1333,16.49,97,100,2.56,AR,1676647018
177,kjollefjord,70.9457,27.3465,0.03,86,100,2.57,NO,1676647019
178,ko samui,9.5357,99.9357,26.95,83,40,1.03,TH,1676647019
179,ilulissat,69.2167,-51.1,-15.99,55,40,4.12,GL,1676647019
180,faanui,-16.4833,-151.75,26.86,76,100,3.17,PF,1676647019
181,qasigiannguit,68.8193,-51.1922,-15.86,87,85,1.65,GL,1676647019
182,emerald,-23.5333,148.1667,23.52,69,100,3.76,AU,1676647020
183,makakilo city,21.3469,-158.0858,20.18,89,75,4.12,US,1676647020
184,nelson bay,-32.7167,152.15,22.27,87,0,3.13,AU,1676647020
185,igarka,67.4667,86.5833,-22.71,99,100,1.9,RU,1676647020
186,leningradskiy,69.3833,178.4167,-38.43,99,92,1.88,RU,1676647021
187,genhe,50.7833,121.5167,-19.52,100,100,1.41,CN,1676647021
188,bogandinskiy,56.8937,65.8938,-11.85,93,100,3.61,RU,1676647021
189,saint-augustin,51.226,-58.6502,-13.03,71,100,6.26,CA,1676647022
190,beloha,-25.1667,45.05,25.9,69,99,3.46,MG,1676647022
191,general roca,-39.0333,-67.5833,14.29,20,4,5.76,AR,1676646890
192,caranavi,-15.8167,-67.55,20.22,98,98,0.7,BO,1676647023
193,mecca,21.4267,39.8261,25.88,44,75,6.76,SA,1676646621
194,baiao,-2.7906,-49.6717,29.65,61,89,1.37,BR,1676647023
195,husavik,66.0449,-17.3389,-2.82,76,57,3.23,IS,1676647024
196,lora del rio,37.659,-5.5275,19.89,45,88,4.8,ES,1676647024
197,biak,-0.9131,122.8766,25.37,86,94,1.87,ID,1676647024
198,balakovo,52.0278,47.8007,-9.02,97,96,1.69,RU,1676647004
199,vao,-22.6667,167.4833,24.03,62,96,4.41,NC,1676647025
